0 | HACK | Diff: -260 | Finished: 52:38.349 | START: 47:40.266 | ATTEMPTED WAIT UNTIL: 51:24.017 | EXEC: 51:24.018
0 | GROW | Diff: -247 | Finished: 52:38.358 | START: 47:40.266 | ATTEMPTED WAIT UNTIL: 48:39.912 | EXEC: 48:39.914
1 | HACK | Diff: -261 | Finished: 52:38.363 | START: 47:40.266 | ATTEMPTED WAIT UNTIL: 51:24.031 | EXEC: 51:24.033
1 | GROW | Diff: -248 | Finished: 52:38.372 | START: 47:40.266 | ATTEMPTED WAIT UNTIL: 48:39.926 | EXEC: 48:39.929
2 | HACK | Diff: -260 | Finished: 52:38.374 | START: 47:40.276 | ATTEMPTED WAIT UNTIL: 51:24.039 | EXEC: 51:24.043
2 | GROW | Diff: -247 | Finished: 52:38.382 | START: 47:40.276 | ATTEMPTED WAIT UNTIL: 48:39.934 | EXEC: 48:39.938
3 | HACK | Diff: -260 | Finished: 52:38.383 | START: 47:40.286 | ATTEMPTED WAIT UNTIL: 51:24.050 | EXEC: 51:24.052
3 | GROW | Diff: -246 | Finished: 52:38.393 | START: 47:40.286 | ATTEMPTED WAIT UNTIL: 48:39.945 | EXEC: 48:39.948
4 | HACK | Diff: -260 | Finished: 52:38.393 | START: 47:40.294 | ATTEMPTED WAIT UNTIL: 51:24.059 | EXEC: 51:24.062
4 | GROW | Diff: -249 | Finished: 52:38.402 | START: 47:40.294 | ATTEMPTED WAIT UNTIL: 48:39.954 | EXEC: 48:39.960
5 | HACK | Diff: -257 | Finished: 52:38.564 | START: 47:40.465 | ATTEMPTED WAIT UNTIL: 51:24.229 | EXEC: 51:24.230
5 | GROW | Diff: -247 | Finished: 52:38.570 | START: 47:40.465 | ATTEMPTED WAIT UNTIL: 48:40.124 | EXEC: 48:40.126
6 | HACK | Diff: -260 | Finished: 52:38.586 | START: 47:40.486 | ATTEMPTED WAIT UNTIL: 51:24.251 | EXEC: 51:24.255
6 | GROW | Diff: -247 | Finished: 52:38.594 | START: 47:40.486 | ATTEMPTED WAIT UNTIL: 48:40.146 | EXEC: 48:40.150
7 | HACK | Diff: -253 | Finished: 52:38.602 | START: 47:40.495 | ATTEMPTED WAIT UNTIL: 51:24.260 | EXEC: 51:24.264
8 | HACK | Diff: -258 | Finished: 52:38.603 | START: 47:40.504 | ATTEMPTED WAIT UNTIL: 51:24.269 | EXEC: 51:24.270
7 | GROW | Diff: -246 | Finished: 52:38.606 | START: 47:40.495 | ATTEMPTED WAIT UNTIL: 48:40.155 | EXEC: 48:40.161
8 | GROW | Diff: -246 | Finished: 52:38.611 | START: 47:40.504 | ATTEMPTED WAIT UNTIL: 48:40.164 | EXEC: 48:40.166
0 | WEAK | Diff: -1 | Finished: 52:38.625 | START: 47:40.262 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.262
1 | WEAK | Diff: -2 | Finished: 52:38.627 | START: 47:40.265 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.265
2 | WEAK | Diff: -2 | Finished: 52:38.638 | START: 47:40.276 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.276
3 | WEAK | Diff: -2 | Finished: 52:38.648 | START: 47:40.286 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.286
9 | HACK | Diff: -260 | Finished: 52:38.649 | START: 47:40.555 | ATTEMPTED WAIT UNTIL: 51:24.318 | EXEC: 51:24.318
4 | WEAK | Diff: -2 | Finished: 52:38.656 | START: 47:40.294 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.294
9 | GROW | Diff: -248 | Finished: 52:38.660 | START: 47:40.555 | ATTEMPTED WAIT UNTIL: 48:40.213 | EXEC: 48:40.217
10 | HACK | Diff: -255 | Finished: 52:38.801 | START: 47:40.701 | ATTEMPTED WAIT UNTIL: 51:24.464 | EXEC: 51:24.465
10 | GROW | Diff: -247 | Finished: 52:38.814 | START: 47:40.701 | ATTEMPTED WAIT UNTIL: 48:40.359 | EXEC: 48:40.370
11 | HACK | Diff: -261 | Finished: 52:38.815 | START: 47:40.716 | ATTEMPTED WAIT UNTIL: 51:24.481 | EXEC: 51:24.485
11 | GROW | Diff: -246 | Finished: 52:38.821 | START: 47:40.716 | ATTEMPTED WAIT UNTIL: 48:40.376 | EXEC: 48:40.376
12 | HACK | Diff: -259 | Finished: 52:38.822 | START: 47:40.726 | ATTEMPTED WAIT UNTIL: 51:24.490 | EXEC: 51:24.490
5 | WEAK | Diff: 5 | Finished: 52:38.834 | START: 47:40.465 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.465
12 | GROW | Diff: -242 | Finished: 52:38.838 | START: 47:40.726 | ATTEMPTED WAIT UNTIL: 48:40.385 | EXEC: 48:40.389
6 | WEAK | Diff: 1 | Finished: 52:38.851 | START: 47:40.486 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.486
7 | WEAK | Diff: 2 | Finished: 52:38.861 | START: 47:40.495 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.495
8 | WEAK | Diff: -1 | Finished: 52:38.867 | START: 47:40.504 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.504
9 | WEAK | Diff: 2 | Finished: 52:38.921 | START: 47:40.555 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.555
10 | WEAK | Diff: 17 | Finished: 52:39.081 | START: 47:40.700 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.700
11 | WEAK | Diff: 2 | Finished: 52:39.082 | START: 47:40.716 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.716
12 | WEAK | Diff: 13 | Finished: 52:39.103 | START: 47:40.726 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:40.726
18 | GROW | Diff: -187 | Finished: 54:06.738 | START: 52:38.872 | ATTEMPTED WAIT UNTIL: 52:56.471 | EXEC: 52:56.474
19 | GROW | Diff: -194 | Finished: 54:06.740 | START: 52:38.883 | ATTEMPTED WAIT UNTIL: 52:56.483 | EXEC: 52:56.483
15 | GROW | Diff: -406 | Finished: 54:06.741 | START: 52:38.842 | ATTEMPTED WAIT UNTIL: 52:56.490 | EXEC: 52:56.495
17 | GROW | Diff: -333 | Finished: 54:06.741 | START: 52:38.861 | ATTEMPTED WAIT UNTIL: 52:56.492 | EXEC: 52:56.496
20 | GROW | Diff: -206 | Finished: 54:06.742 | START: 52:38.891 | ATTEMPTED WAIT UNTIL: 52:56.491 | EXEC: 52:56.497
16 | GROW | Diff: -411 | Finished: 54:06.743 | START: 52:38.851 | ATTEMPTED WAIT UNTIL: 52:56.499 | EXEC: 52:56.502
21 | GROW | Diff: -210 | Finished: 54:06.744 | START: 52:38.900 | ATTEMPTED WAIT UNTIL: 52:56.500 | EXEC: 52:56.503
24 | GROW | Diff: -151 | Finished: 54:06.749 | START: 52:38.928 | ATTEMPTED WAIT UNTIL: 52:56.511 | EXEC: 52:56.512
22 | GROW | Diff: -214 | Finished: 54:06.750 | START: 52:38.910 | ATTEMPTED WAIT UNTIL: 52:56.509 | EXEC: 52:56.513
23 | GROW | Diff: -220 | Finished: 54:06.751 | START: 52:38.918 | ATTEMPTED WAIT UNTIL: 52:56.518 | EXEC: 52:56.520
25 | GROW | Diff: -127 | Finished: 54:06.782 | START: 52:38.936 | ATTEMPTED WAIT UNTIL: 52:56.521 | EXEC: 52:56.521
26 | GROW | Diff: -135 | Finished: 54:06.783 | START: 52:38.947 | ATTEMPTED WAIT UNTIL: 52:56.530 | EXEC: 52:56.530
27 | GROW | Diff: -146 | Finished: 54:06.785 | START: 52:38.955 | ATTEMPTED WAIT UNTIL: 52:56.539 | EXEC: 52:56.543
28 | GROW | Diff: -147 | Finished: 54:06.792 | START: 52:38.966 | ATTEMPTED WAIT UNTIL: 52:56.548 | EXEC: 52:56.551
29 | GROW | Diff: -160 | Finished: 54:06.793 | START: 52:38.978 | ATTEMPTED WAIT UNTIL: 52:56.559 | EXEC: 52:56.565
30 | GROW | Diff: -165 | Finished: 54:06.794 | START: 52:38.986 | ATTEMPTED WAIT UNTIL: 52:56.570 | EXEC: 52:56.571
31 | GROW | Diff: -169 | Finished: 54:06.800 | START: 52:38.995 | ATTEMPTED WAIT UNTIL: 52:56.578 | EXEC: 52:56.581
14 | GROW | Diff: -893 | Finished: 54:06.818 | START: 52:38.830 | ATTEMPTED WAIT UNTIL: 52:56.593 | EXEC: 52:56.602
32 | GROW | Diff: -172 | Finished: 54:06.819 | START: 52:39.010 | ATTEMPTED WAIT UNTIL: 52:56.594 | EXEC: 52:56.603
33 | GROW | Diff: -171 | Finished: 54:06.820 | START: 52:39.018 | ATTEMPTED WAIT UNTIL: 52:56.603 | EXEC: 52:56.603
34 | GROW | Diff: -172 | Finished: 54:06.829 | START: 52:39.026 | ATTEMPTED WAIT UNTIL: 52:56.610 | EXEC: 52:56.613
35 | GROW | Diff: -175 | Finished: 54:06.832 | START: 52:39.034 | ATTEMPTED WAIT UNTIL: 52:56.618 | EXEC: 52:56.619
36 | GROW | Diff: -174 | Finished: 54:06.848 | START: 52:39.074 | ATTEMPTED WAIT UNTIL: 52:56.633 | EXEC: 52:56.634
24 | HACK | Diff: -58 | Finished: 54:06.849 | START: 52:38.928 | ATTEMPTED WAIT UNTIL: 53:44.907 | EXEC: 53:44.910
18 | HACK | Diff: -77 | Finished: 54:06.850 | START: 52:38.872 | ATTEMPTED WAIT UNTIL: 53:44.911 | EXEC: 53:44.911
25 | HACK | Diff: -50 | Finished: 54:06.865 | START: 52:38.936 | ATTEMPTED WAIT UNTIL: 53:44.917 | EXEC: 53:44.918
19 | HACK | Diff: -74 | Finished: 54:06.866 | START: 52:38.883 | ATTEMPTED WAIT UNTIL: 53:44.923 | EXEC: 53:44.924
37 | GROW | Diff: -58 | Finished: 54:06.867 | START: 52:39.098 | ATTEMPTED WAIT UNTIL: 52:56.648 | EXEC: 52:56.650
38 | GROW | Diff: 5 | Finished: 54:06.867 | START: 52:39.114 | ATTEMPTED WAIT UNTIL: 52:56.650 | EXEC: 52:56.650
38 | HACK | Diff: 1 | Finished: 54:06.868 | START: 52:39.114 | ATTEMPTED WAIT UNTIL: 53:44.925 | EXEC: 53:44.925
20 | HACK | Diff: -78 | Finished: 54:06.869 | START: 52:38.891 | ATTEMPTED WAIT UNTIL: 53:44.931 | EXEC: 53:44.931
26 | HACK | Diff: -59 | Finished: 54:06.870 | START: 52:38.947 | ATTEMPTED WAIT UNTIL: 53:44.926 | EXEC: 53:44.932
27 | HACK | Diff: -51 | Finished: 54:06.881 | START: 52:38.955 | ATTEMPTED WAIT UNTIL: 53:44.935 | EXEC: 53:44.935
38 | WEAK | Diff: 3 | Finished: 54:06.882 | START: 52:39.114 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.114
21 | HACK | Diff: -74 | Finished: 54:06.883 | START: 52:38.900 | ATTEMPTED WAIT UNTIL: 53:44.940 | EXEC: 53:44.941
28 | HACK | Diff: -55 | Finished: 54:06.889 | START: 52:38.966 | ATTEMPTED WAIT UNTIL: 53:44.944 | EXEC: 53:44.947
22 | HACK | Diff: -77 | Finished: 54:06.892 | START: 52:38.910 | ATTEMPTED WAIT UNTIL: 53:44.949 | EXEC: 53:44.953
39 | HACK | Diff: -3 | Finished: 54:06.893 | START: 52:39.143 | ATTEMPTED WAIT UNTIL: 53:44.949 | EXEC: 53:44.954
29 | HACK | Diff: -56 | Finished: 54:06.899 | START: 52:38.978 | ATTEMPTED WAIT UNTIL: 53:44.955 | EXEC: 53:44.958
23 | HACK | Diff: -77 | Finished: 54:06.900 | START: 52:38.918 | ATTEMPTED WAIT UNTIL: 53:44.958 | EXEC: 53:44.961
37 | HACK | Diff: 18 | Finished: 54:06.947 | START: 52:39.098 | ATTEMPTED WAIT UNTIL: 53:44.967 | EXEC: 53:44.968
30 | HACK | Diff: -10 | Finished: 54:06.955 | START: 52:38.986 | ATTEMPTED WAIT UNTIL: 53:44.966 | EXEC: 53:44.968
39 | WEAK | Diff: 49 | Finished: 54:06.956 | START: 52:39.142 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.142
24 | WEAK | Diff: 60 | Finished: 54:06.972 | START: 52:38.927 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.927
31 | HACK | Diff: -1 | Finished: 54:06.973 | START: 52:38.995 | ATTEMPTED WAIT UNTIL: 53:44.974 | EXEC: 53:44.977
25 | WEAK | Diff: 56 | Finished: 54:06.977 | START: 52:38.936 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.936
32 | HACK | Diff: -10 | Finished: 54:06.978 | START: 52:39.010 | ATTEMPTED WAIT UNTIL: 53:44.990 | EXEC: 53:44.991
26 | WEAK | Diff: 49 | Finished: 54:06.980 | START: 52:38.946 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.946
39 | GROW | Diff: 46 | Finished: 54:06.981 | START: 52:39.142 | ATTEMPTED WAIT UNTIL: 52:56.674 | EXEC: 52:56.723
18 | WEAK | Diff: 45 | Finished: 54:06.981 | START: 52:38.872 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.872
13 | GROW | Diff: -1224 | Finished: 54:06.982 | START: 52:38.821 | ATTEMPTED WAIT UNTIL: 52:56.676 | EXEC: 52:56.724
33 | HACK | Diff: -14 | Finished: 54:06.984 | START: 52:39.018 | ATTEMPTED WAIT UNTIL: 53:44.999 | EXEC: 53:45.001
40 | HACK | Diff: 41 | Finished: 54:06.985 | START: 52:39.183 | ATTEMPTED WAIT UNTIL: 53:44.996 | EXEC: 53:45.002
27 | WEAK | Diff: 46 | Finished: 54:06.986 | START: 52:38.955 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.955
37 | WEAK | Diff: 46 | Finished: 54:06.987 | START: 52:39.098 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.098
34 | HACK | Diff: -14 | Finished: 54:06.990 | START: 52:39.026 | ATTEMPTED WAIT UNTIL: 53:45.006 | EXEC: 53:45.007
19 | WEAK | Diff: 44 | Finished: 54:06.991 | START: 52:38.883 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.883
40 | WEAK | Diff: 44 | Finished: 54:06.991 | START: 52:39.182 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.182
28 | WEAK | Diff: 48 | Finished: 54:06.999 | START: 52:38.966 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.966
20 | WEAK | Diff: 45 | Finished: 54:07.000 | START: 52:38.891 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.891
35 | HACK | Diff: -13 | Finished: 54:07.002 | START: 52:39.034 | ATTEMPTED WAIT UNTIL: 53:45.014 | EXEC: 53:45.018
17 | HACK | Diff: -76 | Finished: 54:07.003 | START: 52:38.861 | ATTEMPTED WAIT UNTIL: 53:45.019 | EXEC: 53:45.023
29 | WEAK | Diff: 41 | Finished: 54:07.004 | START: 52:38.978 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.978
21 | WEAK | Diff: 41 | Finished: 54:07.005 | START: 52:38.900 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.900
30 | WEAK | Diff: 35 | Finished: 54:07.006 | START: 52:38.986 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.986
36 | HACK | Diff: -25 | Finished: 54:07.006 | START: 52:39.074 | ATTEMPTED WAIT UNTIL: 53:45.029 | EXEC: 53:45.034
22 | WEAK | Diff: 33 | Finished: 54:07.007 | START: 52:38.910 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.910
31 | WEAK | Diff: 28 | Finished: 54:07.008 | START: 52:38.995 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.995
23 | WEAK | Diff: 27 | Finished: 54:07.009 | START: 52:38.918 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.918
32 | WEAK | Diff: 23 | Finished: 54:07.018 | START: 52:39.010 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.010
33 | WEAK | Diff: 16 | Finished: 54:07.019 | START: 52:39.018 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.018
15 | HACK | Diff: -115 | Finished: 54:07.035 | START: 52:38.842 | ATTEMPTED WAIT UNTIL: 53:45.068 | EXEC: 53:45.071
34 | WEAK | Diff: 24 | Finished: 54:07.035 | START: 52:39.026 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.026
35 | WEAK | Diff: 25 | Finished: 54:07.044 | START: 52:39.034 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.034
16 | HACK | Diff: -117 | Finished: 54:07.044 | START: 52:38.851 | ATTEMPTED WAIT UNTIL: 53:45.077 | EXEC: 53:45.082
36 | WEAK | Diff: 14 | Finished: 54:07.073 | START: 52:39.074 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.074
