0 | WEAK | Diff: 47552 | Finished: 16:56.628 | START: 16:09.076 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 16:09.076
0 | WEAK | Diff: 6 | Finished: 47:43.139 | START: 47:24.240 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:24.240
0 | GROW | Diff: 8 | Finished: 47:43.192 | START: 47:24.356 | ATTEMPTED WAIT UNTIL: 47:28.008 | EXEC: 47:28.069
1 | GROW | Diff: 6 | Finished: 47:43.366 | START: 47:24.531 | ATTEMPTED WAIT UNTIL: 47:28.241 | EXEC: 47:28.245
1 | WEAK | Diff: 11 | Finished: 47:43.378 | START: 47:24.474 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:24.474
2 | GROW | Diff: 9 | Finished: 47:43.543 | START: 47:24.705 | ATTEMPTED WAIT UNTIL: 47:28.415 | EXEC: 47:28.419
2 | WEAK | Diff: 8 | Finished: 47:43.548 | START: 47:24.647 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:24.647
3 | GROW | Diff: 8 | Finished: 47:43.718 | START: 47:24.880 | ATTEMPTED WAIT UNTIL: 47:28.591 | EXEC: 47:28.595
3 | WEAK | Diff: 8 | Finished: 47:43.724 | START: 47:24.823 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:24.823
4 | GROW | Diff: 7 | Finished: 47:43.891 | START: 47:25.059 | ATTEMPTED WAIT UNTIL: 47:28.767 | EXEC: 47:28.769
4 | WEAK | Diff: 7 | Finished: 47:43.899 | START: 47:24.999 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 47:24.999
6 | GROW | Diff: -9 | Finished: 48:02.408 | START: 47:43.612 | ATTEMPTED WAIT UNTIL: 47:47.317 | EXEC: 47:47.319
6 | HACK | Diff: 4 | Finished: 48:02.428 | START: 47:43.668 | ATTEMPTED WAIT UNTIL: 47:57.702 | EXEC: 47:57.706
