
n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 8s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.6s/growth (5 over 8s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
joesguns             |  47.7m / 62.5m  (76% full)  | 5.2 / 5  (100.0%) | 0.5s/growth (20 over 10s)
nectar-net           |  68.8m / 68.8m  (100% full) | 7.0 / 7  (100.0%) | 0.5s/growth (25 over 14s)
hong-fang-tea        |  75.0m / 75.0m  (100% full) | 10.3 / 5  (100.0%) | 1s/growth (20 over 21s)
harakiri-sushi       |  75.9m / 100.0m (75% full)  | 7.9 / 5  (100.0%) | 0.5s/growth (40 over 21s)
neo-net              |  94.9m / 125.0m (75% full)  | 13.0 / 8  (100.0%) | 1.4s/growth (25 over 35s)
zer0                 | 102.2m / 187.5m (54% full)  | 8.0 / 8  (100.0%) | 0.8s/growth (40 over 33s)
max-hardware         | 184.8m / 250.0m (73% full)  | 9.9 / 5  (100.0%) | 1.3s/growth (30 over 41s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.4s/growth (20 over 49s)
phantasy             | 600.0m / 600.0m (100% full) | 10.7 / 7  (100.0%) | 1.5s/growth (35 over 52s)
crush-fitness        | 157.6k / 1.0b   (0% full)   | 12.0 / 12 (100.0%) | 3.9s/growth (32 over 127s)
silver-helix         |  19.5m / 1.1b   (1% full)   | 10.0 / 10 (100.0%) | 2.3s/growth (30 over 70s)
omega-net            |  94.3k / 1.7b   (0% full)   | 11.0 / 11 (100.0%) | 3.4s/growth (30 over 103s)
johnson-ortho        |   1.3m / 1.8b   (0% full)   | 17.0 / 17 ( 99.6%) | 3.1s/growth (65 over 205s)
the-hub              | 136.8k / 4.9b   (0% full)   | 22.2 / 15 ( 92.3%) | 5.4s/growth (50 over 272s)
computek             |   4.4b / 5.6b   (78% full)  | 19.5 / 19 ( 88.2%) | 4.6s/growth (60 over 277s)
summit-uni           | 226.8m / 5.7b   (4% full)   | 57.0 / 19 ( 39.4%) | 20.3s/growth (50 over 1017s)
rothman-uni          | 233.0m / 5.8b   (4% full)   | 16.0 / 16 ( 82.6%) | 6.5s/growth (41 over 268s)
millenium-fitness    | 250.0m / 6.3b   (4% full)   | 49.0 / 16 ( 39.9%) | 23s/growth (44 over 1015s)
aevum-police         | 267.2m / 6.7b   (4% full)   | 76.0 / 25 ( 23.1%) | 35.4s/growth (36 over 1274s)
netlink              | 275.0m / 6.9b   (4% full)   | 62.0 / 21 ( 37.0%) | 19s/growth (54 over 1028s)
catalyst             | 458.3m / 11.5b  (4% full)   | 68.0 / 23 ( 30.5%) | 37.2s/growth (31 over 1155s)
rho-construction     | 696.1m / 17.4b  (4% full)   | 52.0 / 17 ( 38.7%) | 23.8s/growth (44 over 1051s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 8s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.6s/growth (5 over 8s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
joesguns             |  28.2m / 62.5m  (45% full)  | 5.3 / 5  (100.0%) | 0.5s/growth (20 over 10s)
nectar-net           |  31.0m / 68.8m  (45% full)  | 10.6 / 7  (100.0%) | 0.6s/growth (25 over 16s)
hong-fang-tea        |  57.8m / 75.0m  (77% full)  | 5.0 / 5  (100.0%) | 0.7s/growth (20 over 14s)
harakiri-sushi       |  58.0m / 100.0m (57% full)  | 8.9 / 5  (100.0%) | 0.5s/growth (40 over 22s)
neo-net              |  72.1m / 125.0m (57% full)  | 8.0 / 8  (100.0%) | 0.9s/growth (25 over 24s)
zer0                 | 187.5m / 187.5m (100% full) | 10.4 / 8  (100.0%) | 1s/growth (40 over 40s)
max-hardware         | 181.4m / 250.0m (72% full)  | 5.2 / 5  (100.0%) | 0.8s/growth (30 over 25s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.4s/growth (20 over 49s)
phantasy             | 600.0m / 600.0m (100% full) | 11.0 / 7  (100.0%) | 1.5s/growth (35 over 53s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.9s/growth (32 over 127s)
silver-helix         | 702.4m / 1.1b   (62% full)  | 10.4 / 10 (100.0%) | 2.4s/growth (30 over 72s)
omega-net            |   1.7b / 1.7b   (100% full) | 11.0 / 11 (100.0%) | 3.4s/growth (30 over 103s)
johnson-ortho        |   1.8b / 1.8b   (100% full) | 17.0 / 17 ( 99.6%) | 3.1s/growth (65 over 205s)
the-hub              |   3.8b / 4.9b   (78% full)  | 16.5 / 15 ( 99.1%) | 4s/growth (50 over 204s)
computek             |   3.5b / 5.6b   (63% full)  | 19.5 / 19 ( 88.3%) | 4.6s/growth (60 over 277s)
summit-uni           |   4.6b / 5.7b   (81% full)  | 19.0 / 19 ( 74.3%) | 6.8s/growth (50 over 343s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 82.7%) | 6.5s/growth (41 over 267s)
